t,x,y
1.635,0.313,-4.38E-02
1.668,0.312,-4.34E-02
1.701,0.309,-4.32E-02
1.735,0.304,-4.40E-02
1.768,0.296,-4.54E-02
1.802,0.285,-4.75E-02
1.835,0.273,-5.08E-02
1.868,0.257,-5.46E-02
1.902,0.24,-5.74E-02
1.935,0.22,-5.94E-02
1.968,0.198,-6.14E-02
2.002,0.174,-6.43E-02
2.035,0.15,-6.70E-02
2.068,0.125,-6.83E-02
2.102,0.1,-6.91E-02
2.135,7.53E-02,-7.00E-02
2.169,5.05E-02,-7.14E-02
2.202,2.58E-02,-7.31E-02
2.235,8.35E-04,-7.25E-02
2.269,-2.35E-02,-7.15E-02
2.302,-4.69E-02,-7.01E-02
2.335,-6.95E-02,-6.80E-02
2.369,-9.04E-02,-6.57E-02
2.402,-0.11,-6.40E-02
2.435,-0.128,-6.26E-02
2.469,-0.143,-6.06E-02
2.502,-0.157,-5.89E-02
2.536,-0.167,-5.71E-02
2.569,-0.176,-5.65E-02
2.602,-0.181,-5.66E-02
2.636,-0.184,-5.68E-02
2.669,-0.184,-5.71E-02
2.702,-0.18,-5.81E-02
2.736,-0.174,-6.00E-02
2.769,-0.165,-6.22E-02
2.802,-0.154,-6.55E-02
2.836,-0.14,-6.92E-02
2.869,-0.123,-7.17E-02
2.903,-0.105,-7.35E-02
2.936,-8.43E-02,-7.55E-02
2.969,-6.22E-02,-7.85E-02
3.003,-3.85E-02,-8.10E-02
3.036,-1.35E-02,-8.21E-02
3.069,1.21E-02,-8.24E-02
3.103,3.79E-02,-8.29E-02
3.136,6.40E-02,-8.33E-02
3.169,9.02E-02,-8.28E-02
3.203,0.116,-8.10E-02
3.236,0.142,-7.85E-02
3.27,0.166,-7.55E-02
3.303,0.189,-7.16E-02
3.336,0.211,-6.76E-02
3.37,0.231,-6.42E-02
3.403,0.249,-6.08E-02
3.436,0.265,-5.72E-02
3.47,0.279,-5.34E-02
3.503,0.29,-5.00E-02
3.536,0.299,-4.74E-02
3.57,0.305,-4.56E-02
3.603,0.309,-4.38E-02
3.637,0.31,-4.27E-02
3.67,0.308,-4.22E-02
3.703,0.304,-4.27E-02
3.737,0.297,-4.39E-02
3.77,0.288,-4.63E-02
3.803,0.276,-4.93E-02
3.837,0.263,-5.16E-02
3.87,0.246,-5.34E-02
3.903,0.228,-5.61E-02
3.937,0.209,-5.96E-02
3.97,0.188,-6.31E-02
4.004,0.165,-6.52E-02
4.037,0.141,-6.71E-02
4.07,0.117,-6.89E-02
4.104,9.22E-02,-7.11E-02
4.137,6.70E-02,-7.25E-02
4.17,4.18E-02,-7.28E-02
4.204,1.68E-02,-7.23E-02
4.237,-8.12E-03,-7.15E-02
4.27,-3.23E-02,-7.01E-02
4.304,-5.56E-02,-6.84E-02
4.337,-7.78E-02,-6.74E-02
4.371,-9.82E-02,-6.63E-02
4.404,-0.117,-6.46E-02
4.437,-0.134,-6.23E-02
4.471,-0.149,-6.03E-02
4.504,-0.161,-5.91E-02
4.537,-0.171,-5.85E-02
4.571,-0.178,-5.80E-02
4.604,-0.183,-5.78E-02
4.637,-0.185,-5.78E-02
4.671,-0.183,-5.88E-02
4.704,-0.179,-6.04E-02
4.737,-0.172,-6.30E-02
4.771,-0.162,-6.62E-02
4.804,-0.15,-6.83E-02
4.838,-0.135,-6.98E-02
4.871,-0.118,-7.21E-02
4.904,-9.81E-02,-7.56E-02
4.938,-7.70E-02,-7.89E-02
4.971,-5.44E-02,-8.06E-02
5.004,-3.02E-02,-8.16E-02
5.038,-4.98E-03,-8.29E-02
5.071,2.06E-02,-8.43E-02
5.104,4.67E-02,-8.44E-02
5.138,7.27E-02,-8.35E-02
5.171,9.88E-02,-8.20E-02
5.205,0.124,-7.99E-02
5.238,0.149,-7.69E-02
5.271,0.173,-7.35E-02
5.305,0.196,-7.07E-02
5.338,0.217,-6.76E-02
5.371,0.236,-6.38E-02
5.405,0.254,-5.97E-02
5.438,0.269,-5.57E-02
5.471,0.282,-5.24E-02
5.505,0.292,-4.98E-02
5.538,0.3,-4.74E-02
5.572,0.305,-4.51E-02
5.605,0.308,-4.36E-02
5.638,0.308,-4.31E-02
5.672,0.305,-4.33E-02
5.705,0.3,-4.46E-02
5.738,0.292,-4.68E-02
5.772,0.282,-4.82E-02
5.805,0.27,-4.96E-02
5.838,0.255,-5.17E-02
5.872,0.239,-5.50E-02
5.905,0.22,-5.85E-02
5.939,0.2,-6.07E-02
5.972,0.179,-6.30E-02
6.005,0.156,-6.54E-02
6.039,0.132,-6.82E-02
6.072,0.107,-7.01E-02
6.105,8.26E-02,-7.11E-02
6.139,5.76E-02,-7.17E-02
6.172,3.23E-02,-7.18E-02
6.205,7.60E-03,-7.09E-02
6.239,-1.68E-02,-7.03E-02
6.272,-4.03E-02,-6.95E-02
6.306,-6.32E-02,-6.88E-02
6.339,-8.46E-02,-6.70E-02
6.372,-0.105,-6.49E-02
6.406,-0.123,-6.30E-02
6.439,-0.139,-6.14E-02
6.472,-0.153,-6.02E-02
6.506,-0.165,-5.91E-02
6.539,-0.173,-5.81E-02
6.572,-0.179,-5.75E-02
6.606,-0.183,-5.79E-02
6.639,-0.184,-5.85E-02
6.673,-0.181,-6.03E-02
6.706,-0.177,-6.29E-02
6.739,-0.168,-6.45E-02
6.773,-0.157,-6.58E-02
6.806,-0.144,-6.84E-02
6.839,-0.128,-7.21E-02
6.873,-0.11,-7.54E-02
6.906,-9.00E-02,-7.73E-02
6.939,-6.82E-02,-7.91E-02
6.973,-4.51E-02,-8.12E-02
7.006,-2.07E-02,-8.31E-02
7.04,4.49E-03,-8.42E-02
7.073,3.04E-02,-8.40E-02
7.106,5.66E-02,-8.35E-02
7.14,8.25E-02,-8.25E-02
7.173,0.108,-8.03E-02
7.206,0.134,-7.79E-02
7.24,0.158,-7.55E-02
7.273,0.182,-7.28E-02
7.306,0.203,-6.92E-02
7.34,0.224,-6.50E-02
7.373,0.242,-6.08E-02
7.407,0.259,-5.73E-02
7.44,0.273,-5.39E-02
7.473,0.285,-5.07E-02
7.507,0.294,-4.77E-02
7.54,0.301,-4.52E-02
7.573,0.305,-4.35E-02
7.607,0.307,-4.28E-02
7.64,0.306,-4.30E-02
7.673,0.303,-4.42E-02
7.707,0.297,-4.45E-02
7.74,0.288,-4.49E-02
7.774,0.278,-4.65E-02
7.807,0.265,-4.94E-02
7.84,0.249,-5.25E-02
7.874,0.232,-5.48E-02
7.907,0.213,-5.70E-02
7.94,0.193,-6.02E-02
7.974,0.171,-6.35E-02
8.007,0.148,-6.61E-02
8.04,0.124,-6.77E-02
8.074,9.99E-02,-6.90E-02
8.107,7.49E-02,-7.02E-02
8.14,4.99E-02,-7.03E-02
8.174,2.50E-02,-7.02E-02
8.207,6.76E-05,-7.04E-02
8.241,-2.42E-02,-7.02E-02
8.274,-4.77E-02,-6.91E-02
8.307,-6.98E-02,-6.75E-02
8.341,-9.07E-02,-6.59E-02
8.374,-0.11,-6.46E-02
8.407,-0.128,-6.32E-02
8.441,-0.143,-6.17E-02
8.474,-0.156,-6.02E-02
8.507,-0.167,-5.91E-02
8.541,-0.176,-5.88E-02
8.574,-0.181,-5.88E-02
8.608,-0.184,-6.00E-02
8.641,-0.183,-6.16E-02
8.674,-0.18,-6.26E-02
8.708,-0.173,-6.31E-02
8.741,-0.165,-6.50E-02
8.774,-0.153,-6.82E-02
8.808,-0.139,-7.11E-02
8.841,-0.122,-7.32E-02
8.874,-0.103,-7.53E-02
8.908,-8.23E-02,-7.81E-02
8.941,-6.01E-02,-8.07E-02
8.975,-3.64E-02,-8.24E-02
9.008,-1.15E-02,-8.33E-02
9.041,1.40E-02,-8.36E-02
9.075,3.99E-02,-8.34E-02
9.108,6.60E-02,-8.22E-02
9.141,9.20E-02,-8.06E-02
9.175,0.118,-7.91E-02
9.208,0.143,-7.71E-02
9.241,0.167,-7.39E-02
9.275,0.189,-7.01E-02
9.308,0.21,-6.63E-02
9.342,0.23,-6.30E-02
9.375,0.248,-5.95E-02
9.408,0.263,-5.54E-02
9.442,0.276,-5.17E-02
9.475,0.287,-4.82E-02
9.508,0.296,-4.57E-02
9.542,0.302,-4.38E-02
9.575,0.305,-4.31E-02
9.608,0.306,-4.31E-02
9.642,0.304,-4.23E-02
9.675,0.299,-4.17E-02
9.709,0.292,-4.26E-02
9.742,0.283,-4.49E-02
9.775,0.272,-4.72E-02
9.809,0.258,-4.92E-02
9.842,0.242,-5.16E-02
9.875,0.224,-5.46E-02
9.909,0.205,-5.81E-02
9.942,0.184,-6.11E-02
9.975,0.162,-6.35E-02
10.009,0.139,-6.56E-02
10.042,0.114,-6.74E-02
10.076,8.97E-02,-6.85E-02
10.109,6.50E-02,-6.95E-02
10.142,4.00E-02,-7.07E-02
10.176,1.53E-02,-7.13E-02
10.209,-8.92E-03,-7.08E-02
10.242,-3.26E-02,-6.96E-02
10.276,-5.55E-02,-6.85E-02
10.309,-7.72E-02,-6.75E-02
10.342,-9.75E-02,-6.64E-02
10.376,-0.116,-6.49E-02
10.409,-0.133,-6.31E-02
10.443,-0.148,-6.14E-02
10.476,-0.16,-6.03E-02
10.509,-0.17,-5.99E-02
10.543,-0.177,-6.03E-02
10.576,-0.182,-6.12E-02
10.609,-0.183,-6.12E-02
10.643,-0.182,-6.14E-02
10.676,-0.178,-6.28E-02
10.709,-0.171,-6.56E-02
10.743,-0.161,-6.80E-02
10.776,-0.148,-6.99E-02
10.81,-0.133,-7.18E-02
10.843,-0.115,-7.48E-02
10.876,-9.54E-02,-7.79E-02
10.91,-7.43E-02,-8.02E-02
10.943,-5.15E-02,-8.15E-02
10.976,-2.75E-02,-8.29E-02
11.01,-2.44E-03,-8.37E-02
11.043,2.32E-02,-8.33E-02
11.076,4.91E-02,-8.31E-02
11.11,7.51E-02,-8.26E-02
11.143,0.101,-8.17E-02
11.176,0.126,-7.93E-02
11.21,0.151,-7.62E-02
11.243,0.174,-7.30E-02
11.277,0.196,-7.00E-02
11.31,0.217,-6.67E-02
11.343,0.235,-6.25E-02
11.377,0.252,-5.81E-02
11.41,0.266,-5.43E-02
11.443,0.279,-5.07E-02
11.477,0.288,-4.82E-02
11.51,0.296,-4.66E-02
11.543,0.301,-4.50E-02
11.577,0.303,-4.27E-02
11.61,0.303,-4.11E-02
11.644,0.3,-4.11E-02
11.677,0.295,-4.24E-02
11.71,0.287,-4.37E-02
11.744,0.277,-4.49E-02
11.777,0.265,-4.66E-02
11.81,0.25,-4.92E-02
11.844,0.234,-5.23E-02
11.877,0.215,-5.51E-02
11.91,0.196,-5.76E-02
11.944,0.174,-6.03E-02
11.977,0.152,-6.26E-02
12.011,0.128,-6.42E-02
12.044,0.104,-6.63E-02
12.077,7.98E-02,-6.85E-02
12.111,5.49E-02,-7.02E-02
12.144,3.00E-02,-7.06E-02
12.177,5.44E-03,-7.03E-02
12.211,-1.85E-02,-6.98E-02
12.244,-4.21E-02,-6.93E-02
