"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.677706,1,0,,
0.704594,0,,,
1.407419,1,0.05,0.0686883187061,0.000461083470128
1.433874,0,,,
2.133575,1,0.1,0.0686405778756,-0.00059257265576
2.160441,0,,,
2.864312,1,0.15,0.0687103466358,0.000783527158327
2.890888,0,,,
3.58901,1,0.2,0.0686440558246,-0.00096647456856
3.616005,0,,,
4.321179,1,0.25,0.0686702455959,0.00103801480393
4.347931,0,,,
5.045333,1,0.3,0.0686773043086,-0.00101851974431
5.072522,0,,,
5.777349,1,0.35,0.0687389529249,0.00118695490499
5.804409,0,,,
6.500227,1,0.4,0.0687037211512,-0.00128443130809
6.527743,0,,,
7.233009,1,0.45,0.0686922344259,0.00125308030521
7.260434,0,,,
7.956124,1,0.5,0.0687623245287,-0.00105922427205
7.983999,0,,,
8.687385,1,0.55,0.0687531426164,0.00103411172743
8.715026,0,,,
9.41069,1,0.6,0.0687011986191,-0.00117774130911
9.438817,0,,,
10.143077,1,0.65,0.0687745290224,0.00137799173209
10.171264,0,,,
10.864871,1,0.7,0.0689004778223,-0.00102900351678
10.893555,0,,,
11.594531,1,0.75,0.0688543438741,0.000902550242001
11.62296,0,,,
12.317278,1,0.8,0.0688479739734,-0.000920177158911
12.346106,0,,,
13.047075,1,0.85,0.0688329552105,0.000879018417558
13.075819,0,,,
13.770133,1,0.9,0.0688402585111,-0.000858817270006
13.799282,0,,,
14.499773,1,0.95,0.0688639735941,0.000923822157345
14.528899,0,,,
15.22234,1,1,0.0689399322979,-0.00071357534638
15.251851,0,,,
15.950352,1,1.05,0.0689140069196,0.000642352953839
15.979794,0,,,
16.673457,1,1.1,0.0687189795669,-0.00118176936715
16.703249,0,,,
17.405668,1,1.15,,
17.436074,0,,,
